epoch,train_rmse,avg_val_rmse,val_rmse_MGFarm_18650_C07,val_rmse_MGFarm_18650_C19,val_rmse_MGFarm_18650_C21
1,0.13118419558107797,0.1917234988016238,0.19482899023950268,0.21494379826430432,0.16539770790106434
2,0.05239177781254284,0.18769403781553118,0.19367282174595318,0.20300045113277337,0.16640884056786698
3,0.05087488329138331,0.2215527721217727,0.23114537243154787,0.23271196459805998,0.20080097933571023
4,0.052772692273055484,0.21023522673823425,0.21862875797203576,0.22059187318277326,0.19148504905989375
5,0.0492597501768626,0.16540479819374224,0.1660743316264565,0.18575682744693403,0.1443832355078362
6,0.05369139095645562,0.1449315014673404,0.1451931113566639,0.1651653319388999,0.1244360611064574
7,0.046500085649137025,0.19823726463884714,0.1983192661488558,0.2197241000031647,0.17666842776452085
8,0.04888811694929736,0.17733665713103464,0.18023170848158587,0.1988559997465997,0.15292226316491836
9,0.06956959396223307,0.15376355879594275,0.15427608947849067,0.16819690927085418,0.13881767763848338
10,0.05451885050170842,0.15851958486422785,0.15961994052597178,0.17647254383193886,0.13946627023477293
11,0.046836843284623945,0.20347903620054505,0.20321900183692537,0.2228523183535113,0.18436578841119847
12,0.05195049844484427,0.1402005931784819,0.13421827585531343,0.15816604922473404,0.12821745445539826
13,0.05663744141326328,0.3437743537813332,0.37824156767419304,0.2860382384305051,0.3670432552393016
