trial_number,value,rmse,state,seq_length,lr,kernel_size,dropout,n_ch1,n_ch2,batch_size
0,0.002071853230744215,0.04551761451069482,COMPLETE,900,0.00014865843804862764,4,0.45349352709706414,64,64,256
1,0.0013532916481999696,0.03678711252870996,COMPLETE,900,0.0010124236993619804,5,0.03756682838294417,96,64,352
2,0.001889514862439285,0.04346855026843298,COMPLETE,420,0.00276511804674535,5,0.44950608470813097,96,48,256
3,0.0020333282956965584,0.045092441669270455,COMPLETE,870,0.0001460490033516505,3,0.052730901618486425,48,32,192
4,0.0018278005574865646,0.04275278420742402,COMPLETE,660,0.0032101219869553072,5,0.27499708166518,112,32,192
5,0.0028876551690589117,0.05373690695470769,PRUNED,870,0.0016155591705035424,4,0.4492525928758874,64,64,64
6,0.0029197540965612734,0.05403474897287183,PRUNED,150,0.0013657430310064196,4,0.4832783922187505,112,16,96
7,0.0031052881801448516,0.055725112652599024,PRUNED,180,0.00014098077395950997,3,0.29959882024383055,48,80,512
8,0.003176380541038339,0.056359387337322424,PRUNED,900,0.00750877905573687,3,0.1848286587867925,128,48,128
9,0.003079243893957531,0.05549093524133046,PRUNED,60,0.0004568604982670245,5,0.32340601313591194,112,112,448
10,0.003082034763697142,0.05551607662377757,PRUNED,600,0.0005141866439557891,2,0.014553721063761363,16,128,384
11,0.0030789860177539512,0.05548861160412965,PRUNED,630,0.005194138169906032,5,0.1805620777207906,96,96,352
12,0.0015274786858051961,0.039082971813888416,COMPLETE,690,0.002972940828625075,5,0.11002123802587516,96,16,320
13,0.0014370144807588322,0.03790797384138108,COMPLETE,750,0.0006248817947868325,5,0.08775809470303232,80,16,352
14,0.002758858946593821,0.05252484123339947,PRUNED,750,0.00063694882371112,4,0.08811564123258663,80,80,416
15,0.0031047389512066366,0.05572018441468618,PRUNED,480,0.00029621909372071556,2,0.1668550438579809,80,48,480
16,0.0012141790283478084,0.034845071794269676,COMPLETE,780,0.0008159174803210685,5,0.00016200238318354876,32,96,320
17,0.0013836841045195224,0.037197904571622344,COMPLETE,510,0.0010865509148937098,4,0.013989795710335266,16,96,288
18,0.0027195342884506896,0.05214915424482634,PRUNED,360,0.0018893966166414781,5,0.13207132637594077,32,96,192
19,0.002868417836735785,0.0535576123136178,PRUNED,780,0.00025745295777839444,4,0.3645166510025412,32,128,384
20,0.002927215856487332,0.05410375085414441,PRUNED,810,0.0008910831611084345,5,0.21116731885071155,48,112,288
21,0.002924538161604383,0.05407899926592931,PRUNED,540,0.0011328296174388278,4,0.011397001945171783,16,96,288
22,0.0013053399889184903,0.03612948918706837,COMPLETE,330,0.0009826714860510643,4,0.0007302628270888442,32,80,224
23,0.002024462965841488,0.04499403255812361,PRUNED,300,0.0007997070798946772,5,0.05639548444269626,32,80,160
24,0.0029534686855244956,0.05434582491346042,PRUNED,300,0.00030613336134882694,3,0.0024820820328580132,32,64,224
25,0.0029278308422081285,0.05410943394832484,PRUNED,210,0.0022419308971235135,4,0.05513234480756264,64,112,320
26,0.002318826839187219,0.048154198562401794,PRUNED,420,0.0004188977864221834,5,0.14171126427511338,48,80,32
27,0.001315019489889685,0.036263197458162526,COMPLETE,810,0.000781286912495281,5,0.05073961664443671,128,64,416
28,0.0026555594873903677,0.05153212092850796,PRUNED,570,0.0007413682921824761,4,0.07330761103170699,128,80,448
29,0.0028811960394957885,0.05367677374335932,PRUNED,810,0.0044849677544367686,3,0.10788353145055224,64,64,224
30,0.002831003273087409,0.05320717313565351,PRUNED,690,0.0014134303794843127,4,0.23934332157806,16,96,416
31,,,RUNNING,840,0.001075815572389357,5,0.040986429622286887,128,64,352
